,VISIT_AREA_NM,VISIT_AREA_TYPE_CD
321,대치유수지체육공원,5
322,대한민국역사박물관,2
323,대한불교 조계종 심학산 약천사,2
324,대한불교조계종 신륵사,2
325,대한성공회 인천내동교회,2
326,더그림,1
327,더도어즈이스케이프,13
328,더벙커 펜션 주변산책,7
329,더베일리하우스 삼성점,8
330,더스테이힐링파크 내 알파와앵무,13
331,더스테이힐링파크 퍼블릭,13
332,더큐이스케이프45 홍대입구역점,13
333,더현대서울,7
334,덕성여자고등학교,7
335,덕송천,1
336,덕수궁,2
337,덕수궁 돌담길,2
338,덕수궁 석조전대한제국역사관,2
339,덕수궁 중명전,2
340,덕수궁돌담길,2
341,덕암사,2
342,덕양구 서정마을,7
343,덕평공룡수목원,1
344,도깨비도로,13
345,도당근린공원 백만송이장미원,7
346,도림천,7
347,도봉산,1
348,도산공원 도산안창호기념관,2
349,도산근린공원,1
350,도토리캐리커쳐,13
351,독립문,2
352,독산성 세마대,2
353,동관왕묘,2
354,동교로,7
355,동구릉,2
356,동국대학교 서울캠퍼스,2
357,동궁과월지,2
358,동네골목길관광코스 10코스(종로5.6가동),7
359,동대문디자인플라자,8
360,동대문디자인플라자(DDP,2
361,동대문디자인플라자(DDP) 어울림광장,8
362,동대문역사문화공원 동대문운동장기념관,2
363,동동카누,5
364,동두천유아숲체험원,13
365,동두천자연휴양림,1
366,"동막골 계곡, 힐링야영 축제",8
367,동막해수욕장,1
368,"동묘공원, 동대문역사문화공원 가는길",1
369,동북각루,2
370,동사지5층석탑,2
371,동산꽃맞이공원,1
372,동인천 개항거리(개항지+일본풍거리등),2
373,동작구민체육센터,5
374,동장대 화성어차 연무대 매표소,2
375,"동장대,연무장",2
376,동탄센트럴파크,7
377,동탄호수공원,1
378,동탄호수공원 유아숲체험원,13
379,돼창마을,7
380,두리 버섯농원,13
381,두리랜드,6
382,두물머리,1
383,두물머리 물래길 1코스,7
384,두물머리나루터,1
385,두물머리연핫도그,1
386,두부마을,7
387,뒷말어린이공원,1
388,뒷산,1
389,드라마 <이상한 변호사 우영우> 촬영지,2
390,드라마 “그해우리는” 촬영지,2
391,드라마 아스달 연대기 오산세트장,2
392,드라이브길,7
393,드럼연습실,5
394,드로잉키즈,6
395,드림파크야생화공원,1
396,디스커버리네이처스케이프,6
397,디원골프연습장,5
398,딜쿠샤,2
399,뚝섬유원지,7
400,뚝섬한강공원,1
401,라온드뷰,7
402,라인프렌즈 월드 팝업스토어,6
403,라페스타,8
404,락휴코인노래연습장 구로디지털단지점,6
405,러쉬쇼케이스,8
406,레고랜드코리아리조트,6
407,레솔레파크,1
408,레스트,5
409,레이저엑스,5
410,레저캠프,5
411,렛츠런파크서울,5
412,로매지크 성수점,13
413,롯데아울렛 고양점,13
414,롯데월드,6
415,롯데월드 민속박물관,2
416,롯데월드 샤롯데씨어터,6
417,롯데월드 어드벤처,6
418,롯데월드아쿠아리움,6
419,롯데월드타워,13
420,롯데월드타워 광장,13
421,롯데월드타워 초대형 피카츄,13
422,롯데월드타워&롯데월드몰,6
423,롯데호텔월드,6
424,루지월드 포천 베어스타운,13
425,르푸앙,5
426,리스펙 페스티벌,8
427,리얼월드 성수,13
428,리움 하우스웨딩,8
429,리프패럿,13
430,리프패럿 용인점,13
431,마로니에공원,1
432,마안산,7
433,마이다스리조트 키즈잼,13
